structure,unit_cells,selectivity_(n_co2/n_n2)/(p_co2/p_n2),loading_mol_kg_co2_avg,loading_mol_kg_co2_err,loading_mol_kg_n2_avg,loading_mol_kg_n2_err,loading_mg_g_co2_avg,loading_mg_g_co2_err,loading_mg_g_n2_avg,loading_mg_g_n2_err,loading_g_L_co2_avg,loading_g_L_co2_err,loading_g_L_n2_avg,loading_g_L_n2_err,loading_num_molecules_co2_avg,loading_num_molecules_co2_err,loading_num_molecules_n2_avg,loading_num_molecules_n2_err
TAJXIO06_clean_pacmof,4,49.30204572803851,0.0241,0.00164,0.00277,0.00021,1.0603,0.07217,0.07771,0.00579,4.95991,0.33758,0.3635,0.02707,1.41874,0.09656,0.16331,0.01216
TAJXIO07_clean_pacmof,4,53.14540466392318,0.02279,0.00213,0.00243,0.00022,1.0029,0.09382,0.06814,0.00626,4.70095,0.43976,0.31939,0.02936,1.34194,0.12553,0.1432,0.01317
TAJXIO03_clean_pacmof,8,33.425499231950845,0.0256,0.0012,0.00434,0.00038,1.12631,0.05279,0.12161,0.01075,5.26243,0.24665,0.56821,0.05024,1.50705,0.07064,0.25558,0.0226
TAKYEL_clean_pacmof,8,69.44401798867953,1.05367,0.05688,0.08598,0.00118,46.36018,2.5028,2.40868,0.03317,145.46331,7.85298,7.55765,0.10408,24.80508,1.33913,2.02417,0.02788
TAJWAF_clean_pacmof,6,58.851207729468605,0.28664,0.01292,0.0276,0.00126,12.61189,0.56826,0.77326,0.03528,34.04423,1.53395,2.08732,0.09523,8.7277,0.39325,0.84046,0.03835
TAJXIO_clean_pacmof,8,29.92451690821256,0.02915,0.00276,0.00552,0.0004,1.2826,0.12133,0.15467,0.01121,5.98522,0.56617,0.72177,0.0523,1.71619,0.16234,0.32506,0.02355
TAKVAF_clean_pacmof,12,33.83251988430947,2.2019,0.0285,0.3688,0.00336,96.88079,1.25405,10.33142,0.09401,228.59704,2.95902,24.37771,0.22182,49.8777,0.64563,8.35415,0.07602
TAKYOV_clean_pacmof,8,70.19529909413785,1.03472,0.03934,0.08353,0.00171,45.52652,1.73112,2.33994,0.04783,146.75364,5.58023,7.54273,0.15418,24.70789,0.9395,1.99457,0.04077
TAKGUK_clean_pacmof,12,39.50440145350325,0.90809,0.0191,0.13026,0.00318,39.95471,0.8402,3.64904,0.0891,121.82519,2.56185,11.12622,0.27166,32.61524,0.68586,4.67848,0.11423
TAKTIL_clean_pacmof,12,121.49372672379506,5.92968,0.14906,0.27657,0.01028,260.89875,6.55866,7.74758,0.28802,643.63333,16.18011,19.11317,0.71055,142.22007,3.57523,6.63329,0.2466
TAKGOE_clean_pacmof,12,37.12029094557312,0.87058,0.02567,0.1329,0.00261,38.30466,1.12944,3.72292,0.0731,117.34608,3.46004,11.40514,0.22394,31.24302,0.92122,4.76935,0.09365
TAJXIO01_clean_pacmof,8,27.898196625945314,0.02821,0.0027,0.00573,0.00075,1.24102,0.11872,0.16055,0.02097,5.72829,0.54797,0.74104,0.09678,1.66055,0.15885,0.3374,0.04407
TARVOX_clean_pacmof,36,14.041447586566242,0.17437,0.00655,0.07037,0.00169,7.67209,0.28798,1.97135,0.04744,23.96085,0.89938,6.15677,0.14815,6.47997,0.24323,2.61515,0.06293
TANBOZ_clean_pacmof,24,4.061242192921582,0.04131,0.00083,0.05764,0.00134,1.8177,0.03663,1.61457,0.0374,3.85872,0.07776,3.4275,0.07939,0.81361,0.0164,1.13507,0.02629
TASVUG_clean_pacmof,2,151.0001532144389,2.89867,0.11702,0.10878,0.00547,127.53782,5.14875,3.04739,0.1533,304.35458,12.28692,7.27225,0.36584,43.85589,1.77048,1.64585,0.0828
TARVUD_clean_pacmof,36,12.23197802692602,0.1598,0.00782,0.07403,0.00225,7.03086,0.34399,2.07389,0.06291,22.1528,1.08384,6.53442,0.19821,5.93285,0.29027,2.74862,0.08337
TANNUT_clean_pacmof,12,78.52469715956559,0.88465,0.08513,0.06384,0.00218,38.92353,3.74554,1.78828,0.06116,114.90036,11.05665,5.27892,0.18055,40.54292,3.90137,2.92558,0.10006
TANFEV_clean_pacmof,12,14.573761493069851,0.06247,0.00303,0.02429,0.00033,2.74864,0.13343,0.68035,0.00917,13.15112,0.63842,3.25518,0.04387,3.39569,0.16484,1.32012,0.01779
TAQGEZ_clean_pacmof,36,7.878248164382548,0.25057,0.00613,0.18023,0.00473,11.02489,0.26986,5.04895,0.1325,20.44495,0.50044,9.36296,0.24571,6.49556,0.159,4.67216,0.12261
TAQGUQ_clean_pacmof,12,32.06946211228896,1.20119,0.0478,0.21225,0.01703,52.85112,2.10316,5.9459,0.47715,136.99359,5.45152,15.41216,1.23681,22.70863,0.90367,4.01262,0.32201
TAQYER_clean_pacmof,48,,1.3076,0.03025,0.0,0.0,57.53282,1.33098,0.0,1e-05,274.87269,6.35897,1e-05,5e-05,60.39956,1.3973,0.0,2e-05
TAQGOK_clean_pacmof,16,144.37747747747747,1.22551,0.02726,0.0481,0.00183,53.921,1.19945,1.34747,0.05133,138.63072,3.08377,3.46433,0.13197,57.38151,1.27642,2.25219,0.08579
TASWAN_clean_pacmof,4,141.102153456388,2.75199,0.06199,0.11052,0.00169,121.08412,2.72768,3.09608,0.0474,299.35796,6.74368,7.65449,0.11718,83.18459,1.87391,3.34074,0.05114
TAPKAY_clean_pacmof,27,225.6451481932602,1.30768,0.01848,0.03284,0.00179,57.53631,0.8132,0.91999,0.05012,230.23818,3.25413,3.68146,0.20055,57.36355,0.81076,1.44063,0.07848
TAPLED_clean_pacmof,27,34.92472819479662,1.77432,0.06262,0.28789,0.00795,78.06783,2.75505,8.06484,0.22267,152.16799,5.37007,15.7198,0.43401,50.98792,1.79938,8.27303,0.22841
TARWAK_clean_pacmof,36,10.59197223479704,0.12387,0.00198,0.06627,0.00146,5.44999,0.08694,1.85654,0.04079,17.5972,0.28073,5.99449,0.13172,4.68543,0.07475,2.50687,0.05508
TARWEO_clean_pacmof,16,282.3786728039892,2.16518,0.07413,0.04345,0.00111,95.2651,3.26173,1.2172,0.03122,335.76686,11.49614,4.29008,0.11003,43.17158,1.47813,0.86636,0.02222
TANMIH_clean_pacmof,12,819.8647798742138,2.60717,0.03278,0.01802,0.00195,114.71257,1.44221,0.50472,0.0545,317.82856,3.99585,1.3984,0.151,86.63496,1.08921,0.5987,0.06465
TAPHOJ_clean_pacmof,18,2.6755473327166204,0.05104,0.009,0.1081,0.0072,2.24584,0.3959,3.02826,0.20168,6.43541,1.13444,8.67744,0.5779,2.12396,0.37442,4.49818,0.29957
TAPXIT01_clean_pacmof,16,252.9922611036339,1.32687,0.02949,0.02972,0.00338,58.38077,1.29756,0.83254,0.09474,184.26043,4.09532,2.62766,0.29902,30.08101,0.66857,0.67376,0.07667
TAMHUM_clean_pacmof,8,5.94423387175151,0.17989,0.00175,0.17149,0.00396,7.91499,0.07698,4.8041,0.11106,13.04914,0.12691,7.92033,0.18311,7.25474,0.07055,6.91603,0.15989
TASFAU_clean_pacmof,1,59.69359301830567,3.62923,0.11008,0.34452,0.00787,159.68174,4.84338,9.65124,0.22053,179.27301,5.43761,10.83534,0.24758,95.32877,2.89146,9.04952,0.20678
TAXHUX_clean_pacmof,36,263.55555555555554,0.02372,0.00242,0.00051,4e-05,1.04344,0.10664,0.0143,0.001,3.46906,0.35453,0.04754,0.00333,1.00822,0.10304,0.0217,0.00152
TATSIS_clean_pacmof,27,226.29821908602148,1.58462,0.00643,0.03968,0.00072,69.72157,0.28272,1.11155,0.0202,207.19379,0.84018,3.30322,0.06003,51.87904,0.21037,1.29905,0.02361
TATSIS01_clean_pacmof,27,260.5503853564547,1.59089,0.00471,0.0346,0.00115,69.99726,0.20739,0.96929,0.03232,209.98822,0.62215,2.90782,0.09696,52.08418,0.15431,1.1328,0.03777
TAWYUO_clean_pacmof,6,59.576729408256206,3.05534,0.13301,0.29061,0.00761,134.43114,5.85249,8.14098,0.21321,246.99139,10.75283,14.95748,0.39174,49.49946,2.15497,4.70816,0.12331
TATSAK_clean_pacmof,12,26.650187118376994,1.43262,0.03977,0.30462,0.00701,63.03376,1.74975,8.53347,0.19634,155.72772,4.32284,21.08232,0.48507,60.1833,1.67063,12.79683,0.29444
TAWTAP_clean_pacmof,16,667.7225088517956,3.88261,0.05158,0.03295,0.00145,170.83028,2.26939,0.92312,0.04055,557.14005,7.40133,3.01065,0.13223,128.24076,1.70361,1.08842,0.04781
TATFOL_clean_pacmof,16,48.59448838117555,1.17107,0.06706,0.13656,0.00973,51.52546,2.95052,3.82562,0.27249,115.74525,6.62796,8.59376,0.61212,30.65086,1.75517,3.57434,0.25459
TAVQEN_clean_pacmof,36,1159.1413376599965,3.78221,0.01103,0.01849,0.00227,166.41286,0.48529,0.51803,0.06369,611.57592,1.78347,1.90379,0.23407,143.18662,0.41756,0.70008,0.08607
TASWOB_clean_pacmof,2,135.4146254881079,2.69268,0.065,0.11268,0.0031,118.47458,2.86002,3.15655,0.08675,300.42335,7.25232,8.00425,0.21997,40.69592,0.98241,1.70299,0.0468
TASWER_clean_pacmof,4,149.25982644206226,2.924,0.08977,0.11101,0.00241,128.65255,3.94976,3.10967,0.06756,328.54549,10.08667,7.94129,0.17253,88.22737,2.70867,3.34944,0.07277
TAWHOO_clean_pacmof,12,742.728725138572,4.01991,0.07831,0.03067,0.00233,176.87109,3.4454,0.85908,0.06522,659.70034,12.85077,3.20423,0.24327,153.92527,2.99842,1.17425,0.08915
TAWSUI_clean_pacmof,12,360.0443983623119,3.98315,0.17456,0.06269,0.00323,175.25363,7.68042,1.75617,0.09037,547.32518,23.9863,5.48461,0.28224,98.86371,4.33266,1.55601,0.08007
TAVCIF_clean_pacmof,12,160.2207711442786,2.57635,0.05509,0.09112,0.00338,113.35626,2.42387,2.55254,0.09459,288.52769,6.16951,6.49702,0.24077,71.46239,1.52806,2.52742,0.09366
TASWIV_clean_pacmof,4,72.47852370346803,1.608,0.02925,0.12572,0.00376,70.7502,1.28703,3.52172,0.10519,176.87659,3.2176,8.80436,0.26299,48.24709,0.87767,3.772,0.11267
TASXIW_clean_pacmof,12,24.958682160856345,1.40996,0.04084,0.32012,0.00581,62.03676,1.79698,8.96775,0.16285,137.24569,3.97552,19.8396,0.36028,34.92499,1.01165,7.92947,0.144
TATYOF_clean_pacmof,16,,0.88641,0.00471,0.0,0.0,39.00107,0.20736,0.0,0.0,275.99149,1.4674,0.0,0.0,71.0945,0.378,0.0,0.0
TAVSER_clean_pacmof,12,371.8980651250589,2.78136,0.03174,0.04238,0.00223,122.3764,1.39659,1.18708,0.06256,448.00527,5.11273,4.34577,0.22902,99.71848,1.13801,1.51926,0.08006
TAYNEN_clean_pacmof,18,206.7410286092277,2.20617,0.03812,0.06047,0.0032,97.0687,1.67725,1.6939,0.08957,252.84483,4.36891,4.41228,0.23332,80.66132,1.39375,2.21079,0.11691
TATYUL_clean_pacmof,16,1906028.6666666663,3.36358,2e-05,1e-05,2e-05,147.99365,0.00091,0.0003,0.00058,490.85685,0.00302,0.00099,0.00193,127.99959,0.00079,0.00041,0.00079
TATPOV_clean_pacmof,3,31.146214265271723,1.72845,0.04373,0.31447,0.00563,76.04969,1.92412,8.80937,0.15779,141.85083,3.58895,16.43157,0.29433,20.49403,0.51852,3.72862,0.06679
TEBSAW_clean_pacmof,12,35.46277172049647,1.52104,0.02151,0.24305,0.00344,66.9239,0.94657,6.80854,0.09635,163.97494,2.31925,16.68209,0.23608,33.80913,0.47819,5.40232,0.07645
TEHRUU_clean_pacmof,9,2891.0506736965435,5.80591,0.06112,0.01138,0.00189,255.45289,2.6892,0.31871,0.05308,793.50046,8.35332,0.99,0.16487,118.94155,1.25212,0.23308,0.03881
TAZYAV_clean_pacmof,8,4.886995591726008,0.10173,0.0018,0.11796,0.00141,4.47604,0.07918,3.30456,0.03945,7.8962,0.13969,5.82959,0.0696,3.68609,0.06521,4.27424,0.05103
TAZLOX_clean_pacmof,4,141.9065750701175,4.70245,0.09609,0.18778,0.00545,206.90228,4.22799,5.26027,0.15275,404.28895,8.26153,10.27861,0.29848,110.57377,2.25954,4.41538,0.12822
TECVEE_clean_pacmof,18,121.63398380776192,3.59686,0.08738,0.16757,0.00623,158.25749,3.84448,4.69429,0.17442,369.40865,8.97389,10.95752,0.40713,89.44155,2.17277,4.16695,0.15483
TAZLIR_clean_pacmof,4,169.826350196865,5.3789,0.06029,0.17948,0.00338,236.66507,2.65281,5.02786,0.09455,460.24576,5.15896,9.77775,0.18388,126.20367,1.41464,4.2111,0.07919
TEFWOR_clean_pacmof,8,251.1964423820572,3.24797,0.11363,0.07327,0.00346,142.90672,4.99939,2.05249,0.09679,409.60685,14.32951,5.88297,0.27744,262.51734,9.18379,5.9219,0.27927
TECTUS_clean_pacmof,18,494.0627353266888,5.24869,0.13977,0.0602,0.0078,230.9361,6.1496,1.68632,0.21846,519.7412,13.84021,3.79521,0.49167,100.98927,2.68925,1.15824,0.15005
TEHWEK_clean_pacmof,4,37.3656859483182,1.3873,0.02147,0.21039,0.00246,61.03945,0.94454,5.89379,0.06902,150.005,2.32122,14.48405,0.16962,27.69979,0.42863,4.20082,0.04919
TEBFUD_clean_pacmof,24,12982.878205128207,2.38274,0.05431,0.00104,0.00025,104.83777,2.38947,0.02909,0.00688,443.0145,10.09722,0.12294,0.02908,94.61413,2.15645,0.04124,0.00975
TEDSIG_clean_pacmof,18,80.13367396365568,3.01675,0.07661,0.21333,0.00526,132.73335,3.37063,5.97612,0.14738,306.12129,7.77365,13.78266,0.33991,85.94535,2.1825,6.07765,0.14989
TEDXOR_clean_pacmof,8,169.68588832487308,2.94954,0.05926,0.0985,0.004,129.77634,2.60756,2.75946,0.11215,324.07614,6.51157,6.89089,0.28007,77.62592,1.55972,2.59244,0.10537
TEBWII_clean_pacmof,8,35.580589812332434,1.75653,0.01709,0.27975,0.00359,77.28509,0.75213,7.83678,0.10053,149.3177,1.45315,15.14095,0.19423,56.67046,0.55151,9.02552,0.11578
TAZSAP02_clean_pacmof,36,1949.7252103915112,3.13447,0.03008,0.00911,0.00176,137.91284,1.32352,0.25527,0.04934,542.04391,5.20189,1.00331,0.19392,141.73172,1.36017,0.41204,0.07964
TEBCEK_clean_pacmof,18,684.9186256781193,0.6684,0.03521,0.00553,0.00069,29.40882,1.54913,0.15492,0.01944,90.76041,4.78087,0.4781,0.06,13.18229,0.69439,0.10907,0.01369
TAZLAJ_clean_pacmof,4,157.70175542757622,4.68736,0.09296,0.16843,0.00499,206.23832,4.09032,4.71829,0.1397,441.26558,8.75162,10.09521,0.29891,119.69363,2.37388,4.30091,0.12735
TAZLEN_clean_pacmof,8,151.34761387252377,4.66943,0.10238,0.17483,0.00231,205.44921,4.50474,4.89761,0.06465,430.40782,9.43724,10.2603,0.13544,234.08281,5.13257,8.76442,0.1157
TEJBAN_clean_pacmof,8,44.606040892193306,0.84699,0.01475,0.1076,0.00346,37.26636,0.64888,3.01419,0.09699,103.27957,1.79831,8.3535,0.2688,44.59303,0.77646,5.66493,0.18229
TAZLUD_clean_pacmof,4,169.71870320455227,5.33356,0.10897,0.17808,0.00559,234.67008,4.79443,4.98877,0.15653,461.59139,9.43056,9.81281,0.30789,126.31577,2.5807,4.21761,0.13233
TEFWIL_clean_pacmof,8,77.5949349760438,1.66715,0.01237,0.12175,0.00521,73.35258,0.54432,3.41051,0.14585,164.63303,1.22168,7.65456,0.32735,135.07017,1.00231,9.86363,0.42182
TEQVOC_clean_pacmof,16,59.083235791390294,1.06892,0.00696,0.10252,0.0027,47.03136,0.30626,2.87184,0.07575,140.44972,0.91458,8.57617,0.2262,28.70392,0.18691,2.75288,0.07261
TEJBOB_clean_pacmof,12,15.350987984388924,0.58769,0.00992,0.21694,0.00323,25.85774,0.43653,6.07732,0.09038,67.76665,1.14403,15.92714,0.23685,35.56087,0.60034,13.12708,0.19521
TERFED_clean_pacmof,8,438.3959613196814,4.53353,0.03704,0.0586,0.00174,199.47006,1.62988,1.64165,0.04872,511.33071,4.17812,4.20829,0.1249,92.62329,0.75683,1.19729,0.03553
TEJQAC_clean_pacmof,8,63.30338983050847,0.06591,0.00483,0.0059,0.00043,2.89992,0.21237,0.16541,0.01208,8.87421,0.6499,0.50617,0.03696,3.50846,0.25694,0.31431,0.02295
TENLIJ_clean_pacmof,8,44.67229407431559,2.17604,0.05721,0.27603,0.00807,95.74327,2.51736,7.7325,0.22616,219.10267,5.76082,17.69535,0.51754,47.57585,1.2509,6.03492,0.17651
TERNUA_clean_pacmof,18,34.380132200188854,1.60626,0.05674,0.26475,0.00387,70.67367,2.49657,7.41649,0.10838,203.95619,7.20482,21.40314,0.31278,46.04505,1.62656,7.58922,0.11091
TEQLIM_clean_pacmof,4,19.644363946303002,0.81345,0.02914,0.23465,0.00738,35.79082,1.28203,6.57328,0.20676,55.81463,1.99928,10.25081,0.32244,14.81513,0.53068,4.27356,0.13442
TEQWER_clean_pacmof,20,19.765801019803156,0.29415,0.00675,0.08433,0.00144,12.94214,0.29714,2.36246,0.04035,42.38865,0.97319,7.73763,0.13215,7.09117,0.1628,2.03306,0.03472
TEJGEW_clean_pacmof,18,3874.050409577819,3.61654,0.03739,0.00529,0.00161,159.12343,1.64525,0.14807,0.04504,611.52844,6.32288,0.56904,0.17308,192.3596,1.98889,0.28114,0.08551
TEQWER01_clean_pacmof,20,18.842117674802495,0.282,0.01175,0.08481,0.00215,12.40782,0.51698,2.37569,0.06017,40.72005,1.69664,7.79656,0.19747,6.79841,0.28326,2.04445,0.05178
TEQPAI_clean_pacmof,8,51.20781805259417,2.33101,0.06931,0.25795,0.00752,102.56171,3.04954,7.22607,0.21064,244.23469,7.26199,17.20777,0.50162,77.60717,2.30755,8.58802,0.25035
TEMPAE_clean_pacmof,8,17.78745439300202,0.92342,0.02896,0.29418,0.00465,40.62956,1.2744,8.24107,0.13017,65.61909,2.05824,13.30981,0.21023,34.47032,1.08121,10.98147,0.17345
TENQOS_clean_pacmof,8,10.50372654844513,0.4087,0.01069,0.22049,0.00605,17.98221,0.47045,6.17659,0.16961,37.98703,0.99381,13.04792,0.3583,11.11985,0.29092,5.999,0.16474
TEJGIA01_clean_pacmof,18,4149.368209255534,3.63924,0.11989,0.00497,0.0007,160.12199,5.275,0.13922,0.01959,603.09717,19.86821,0.52437,0.07379,189.95604,6.25784,0.25941,0.0365
TERFUT_clean_pacmof,8,12.381857834117085,0.64122,0.01789,0.29346,0.00542,28.21292,0.78734,8.22093,0.15185,50.8036,1.41777,14.8036,0.27345,8.93881,0.24945,4.09097,0.07557
TEJGAS_clean_pacmof,18,550.8631793305333,2.54596,0.05644,0.02619,0.00092,112.01919,2.4835,0.73369,0.02567,428.09418,9.49097,2.80388,0.09811,133.29397,2.95517,1.37121,0.04798
TEJGIA_clean_pacmof,18,3907.4203174603167,3.62011,0.08008,0.00525,0.00087,159.28067,3.52363,0.14704,0.02427,598.90389,13.24902,0.55288,0.09124,188.95796,4.18015,0.27398,0.04521
TEPJAB_clean_pacmof,20,688.4178008595989,6.78375,0.10793,0.05584,0.00422,298.47679,4.749,1.56439,0.1182,793.891,12.63144,4.16098,0.31439,295.44256,4.70073,2.4321,0.18376
TEMPEI_clean_pacmof,4,11.296420153040488,0.57227,0.02093,0.28707,0.00902,25.17937,0.92081,8.04177,0.2526,29.83589,1.0911,9.52897,0.29931,9.88527,0.3615,4.95872,0.15576
TEJLOL_clean_pacmof,12,195.25965271220227,4.37887,0.19255,0.12708,0.0038,192.66482,8.4718,3.55991,0.10656,485.12501,21.33177,8.96375,0.26832,129.29963,5.68552,3.75238,0.11232
TETWUM_clean_pacmof,12,44.99662517289073,0.47842,0.00999,0.06025,0.0022,21.04972,0.43964,1.68782,0.06154,71.81234,1.49986,5.75809,0.20994,14.9542,0.31233,1.88329,0.06866
TETWOG_clean_pacmof,36,170.13693437574034,1.26732,0.04453,0.04221,0.00078,55.76054,1.95935,1.18239,0.02191,174.7542,6.14062,3.70561,0.06865,41.16317,1.44642,1.37093,0.0254
TEWFOS_clean_pacmof,4,64.88878231259892,2.38764,0.04966,0.20851,0.00775,105.05341,2.1851,5.84122,0.21719,253.33331,5.2693,14.08595,0.52375,47.83231,0.99491,4.17724,0.15532
TETZID_clean_pacmof,8,67.57176196032673,1.73727,0.03267,0.14569,0.00548,76.4379,1.43753,4.08123,0.15339,205.8314,3.87098,10.9899,0.41305,66.81032,1.25647,5.60273,0.21058
TETWEW_clean_pacmof,12,658.8527865404837,3.6857,0.02846,0.0317,0.00211,162.16658,1.25215,0.88798,0.05906,657.52097,5.07696,3.60041,0.23945,211.56974,1.63361,1.81958,0.12101
TETVIZ_clean_pacmof,12,2400.481125356125,3.96503,0.07005,0.00936,0.00258,174.45652,3.08233,0.26215,0.07234,831.1305,14.68456,1.2489,0.34462,226.08479,3.99451,0.53359,0.14724
TESGUU_clean_pacmof,18,18.099460121333554,0.38258,0.0099,0.11978,0.00302,16.83294,0.43548,3.35532,0.08458,64.67581,1.67322,12.89187,0.32498,12.84373,0.33228,4.02105,0.10136
TEWGEJ_clean_pacmof,8,70.43140313558655,2.62937,0.04819,0.21155,0.0086,115.68902,2.12028,5.92639,0.24103,273.14077,5.00596,13.99215,0.56906,52.67486,0.96539,4.23814,0.17237
TEWFUY_clean_pacmof,8,60.309000861326446,2.3065,0.07657,0.21672,0.00162,101.48333,3.36887,6.07095,0.04542,244.08003,8.10254,14.60138,0.10924,46.2068,1.53389,4.34152,0.03248
TETZEX_clean_pacmof,6,73.2620793787748,2.39748,0.08774,0.18544,0.00667,105.48612,3.86033,5.19495,0.18688,402.64862,14.73519,19.82954,0.71333,80.1833,2.93436,6.20218,0.22311
TEWGEJ01_clean_pacmof,8,53.15550906555091,0.76225,0.03325,0.08126,0.00231,33.53788,1.46292,2.27625,0.06469,87.58757,3.82056,5.94467,0.16896,16.8334,0.73427,1.79445,0.051
TEVZEA_clean_pacmof,18,25.19811289411608,0.44614,0.00685,0.10033,0.00255,19.6295,0.30161,2.81052,0.07133,77.35731,1.18859,11.07589,0.28112,14.97753,0.23013,3.36815,0.08549
TEVZUQ_clean_pacmof,18,19.763362967841072,0.42368,0.01128,0.12148,0.00489,18.64128,0.4962,3.40318,0.13699,70.64216,1.88038,12.89656,0.51911,14.22351,0.37861,4.0784,0.16416
TEVHEJ_clean_pacmof,1,28.271575798195258,1.71211,0.0477,0.34317,0.00626,75.33093,2.09885,9.6134,0.17537,138.20112,3.85053,17.63662,0.32173,25.13657,0.70035,5.0383,0.09191
TEVZIE_clean_pacmof,18,20.052512704686617,0.43869,0.00652,0.12397,0.00208,19.30164,0.28679,3.47283,0.05834,72.88379,1.08291,13.11356,0.22028,14.72737,0.21882,4.16187,0.06991
TEXTOH_clean_pacmof,12,40.1162720645822,1.1751,0.02606,0.16599,0.00341,51.70286,1.14676,4.64993,0.09553,118.57647,2.63,10.66424,0.21909,21.87367,0.48515,3.08978,0.06348
TESGOO_clean_pacmof,18,19.462353613253356,0.40081,0.00929,0.1167,0.00154,17.63529,0.40876,3.26928,0.0432,67.76382,1.57068,12.56226,0.166,13.45593,0.31189,3.91793,0.05177
TETZEZ_clean_pacmof,8,15.692129392916792,0.8124,0.02534,0.29337,0.00394,35.74453,1.11472,8.21836,0.1104,52.61772,1.64093,12.09784,0.16251,36.24765,1.13041,13.08969,0.17584
TEVZOK_clean_pacmof,18,26.81628196082384,0.46949,0.01773,0.09921,0.00233,20.65715,0.78004,2.7793,0.06528,81.76209,3.08743,11.00062,0.25839,15.76164,0.59518,3.33074,0.07823
TESHAB_clean_pacmof,18,15.260545711149444,0.34347,0.00619,0.12754,0.00144,15.11242,0.2724,3.57295,0.04032,54.83997,0.9885,12.96552,0.1463,11.53095,0.20785,4.28185,0.04832
TIJPOT_clean_pacmof,18,76.7974663499604,0.85584,0.01584,0.06315,0.00232,37.6558,0.69715,1.76906,0.06491,108.71079,2.01265,5.1072,0.1874,36.41375,0.67416,2.68689,0.09859
TIKXER_clean_pacmof,24,,0.00603,0.00212,0.0,0.0,0.26522,0.09323,5e-05,5e-05,1.20029,0.42192,0.00024,0.00022,0.31696,0.11142,0.0001,9e-05
TIDMEA_clean_pacmof,18,1909.9126614987078,6.52179,0.10912,0.01935,0.0019,286.95081,4.80115,0.54209,0.05311,1002.60371,16.77519,1.89406,0.18555,241.04933,4.03315,0.71523,0.07007
TIDSEE_clean_pacmof,18,57.73770080321285,0.13531,0.01088,0.01328,0.00044,5.95359,0.47856,0.37195,0.0124,36.78935,2.95722,2.29841,0.07663,14.69698,1.18138,1.44214,0.04808
TIGVUC_clean_pacmof,8,72.85819464208376,2.07813,0.0679,0.16163,0.00498,91.43519,2.98737,4.52793,0.13964,196.50193,6.42011,9.73091,0.30009,67.27766,2.19809,5.23276,0.16137
TIGQUX_clean_pacmof,9,150.49018977163075,4.1283,0.04721,0.15545,0.00594,181.64037,2.07737,4.35478,0.16638,557.44098,6.37529,13.3645,0.51061,241.69513,2.7642,9.10114,0.34772
TIDKAS_clean_pacmof,2,37.609948826927535,1.81145,0.03474,0.27293,0.01069,79.70174,1.52863,7.64573,0.29938,170.40699,3.26829,16.34701,0.6401,40.78261,0.78218,6.14469,0.24061
TIDLEZ_clean_pacmof,16,10.381641770684128,0.35813,0.00556,0.19548,0.00228,15.75707,0.2446,5.476,0.06375,32.72973,0.50807,11.37446,0.13241,7.15187,0.11102,3.90374,0.04544
TIGSOT_clean_pacmof,9,167.3014262023217,1.48357,0.02918,0.05025,0.00285,65.27533,1.28378,1.40767,0.07992,233.70357,4.59627,5.03986,0.28613,40.34161,0.7934,1.36641,0.07757
TEZKAM_clean_pacmof,8,28.479367411719274,1.77857,0.03712,0.35389,0.01005,78.25496,1.63316,9.91373,0.28165,174.80618,3.64815,22.14532,0.62916,62.66566,1.30781,12.46891,0.35425
TIDQIG_clean_pacmof,16,288.16186333152075,0.93517,0.02268,0.01839,0.00062,41.14643,0.99811,0.51504,0.01732,202.16902,4.90413,2.53062,0.08512,58.33843,1.41515,1.14694,0.03858
TIGQOR_clean_pacmof,9,110.38505007989399,3.3322,0.11567,0.17106,0.00724,146.61269,5.0892,4.79199,0.20281,453.30439,15.73505,14.81611,0.62705,194.12304,6.73838,9.96541,0.42176
TIKMEH_clean_pacmof,12,56.473926764514346,1.98951,0.05389,0.19963,0.00428,87.53611,2.37093,5.59245,0.12002,275.71984,7.46791,17.61502,0.37804,105.32218,2.85267,10.56839,0.22681
TIFDOB_clean_pacmof,4,25.860068199395343,0.86543,0.01723,0.18964,0.00397,38.07772,0.75804,5.31235,0.11124,91.35811,1.81872,12.74567,0.2669,41.95476,0.83522,9.19328,0.19251
TIFBOA_clean_pacmof,24,1123.6102164502163,3.81697,0.03375,0.01925,0.00124,167.94223,1.48481,0.53917,0.03466,461.71249,4.0821,1.4823,0.09528,90.51723,0.80028,0.45643,0.02934
TEYLIU_clean_pacmof,30,54696.01587301587,2.02697,0.01499,0.00021,8e-05,89.18409,0.65945,0.00595,0.00217,350.06439,2.58845,0.02335,0.00852,122.04766,0.90245,0.01279,0.00467
TIKMUW_clean_pacmof,12,6876.727678571428,5.43666,0.06392,0.00448,0.00155,239.20636,2.81247,0.12548,0.04346,749.50688,8.81233,0.39318,0.13618,141.37847,1.66226,0.11649,0.04034
TIFZIR_clean_pacmof,12,89.86333160147456,2.13658,0.02401,0.13473,0.00178,94.00701,1.05635,3.77431,0.04995,279.3964,3.13954,11.21754,0.14846,52.92766,0.59474,3.33759,0.04417
TIKXIV_clean_pacmof,12,357458.99999999994,0.63081,0.02647,1e-05,1e-05,27.75508,1.16485,0.00025,0.00023,136.97912,5.74888,0.00126,0.00114,36.55026,1.53398,0.00053,0.00048
