structure,unit_cells,selectivity_(n_co2/n_n2)/(p_co2/p_n2),loading_mol_kg_co2_avg,loading_mol_kg_co2_err,loading_mol_kg_n2_avg,loading_mol_kg_n2_err,loading_mg_g_co2_avg,loading_mg_g_co2_err,loading_mg_g_n2_avg,loading_mg_g_n2_err,loading_g_L_co2_avg,loading_g_L_co2_err,loading_g_L_n2_avg,loading_g_L_n2_err,loading_num_molecules_co2_avg,loading_num_molecules_co2_err,loading_num_molecules_n2_avg,loading_num_molecules_n2_err
YAZZAC_clean_pacmof,24,5472.122287968441,3.26396,0.02268,0.00338,0.00064,143.61049,0.998,0.09476,0.01791,578.35337,4.01919,0.38161,0.07212,125.92795,0.87512,0.1305,0.02466
YECQUS02_clean_pacmof,12,44.69416859759461,0.95309,0.01116,0.12084,0.00343,41.93497,0.49104,3.38522,0.09621,222.64493,2.6071,17.97312,0.51083,35.20035,0.41218,4.46305,0.12685
YEDKOI_clean_pacmof,18,55.925872816713465,1.65182,0.05172,0.16737,0.0018,72.67795,2.27576,4.68859,0.0504,157.56957,4.93396,10.16511,0.10926,38.78565,1.21449,3.92993,0.04224
YAZWOM_clean_pacmof,12,19.065572516163588,0.29315,0.00998,0.08713,0.0022,12.89803,0.43914,2.44069,0.06166,36.75184,1.2513,6.95454,0.17569,5.74499,0.1956,1.70747,0.04314
YAZFOW_clean_pacmof,27,73.83373173970784,4.25152,0.08733,0.3263,0.0086,187.06195,3.84223,9.14076,0.24088,490.99247,10.08493,23.99228,0.63225,135.42279,2.78157,10.39351,0.27389
YEFNIG_clean_pacmof,27,4.017784209680012,0.07349,0.00126,0.10365,0.00097,3.23344,0.05558,2.9037,0.02715,6.68035,0.11482,5.9991,0.05609,2.54701,0.04378,3.59245,0.03359
YEGCUJ_clean_pacmof,8,55.56020786047067,1.64151,0.0143,0.16742,0.00374,72.22449,0.62909,4.68998,0.10474,197.87477,1.72352,12.84921,0.28696,46.73687,0.40709,4.76672,0.10645
YEGDAR_clean_pacmof,9,15.798595271713548,0.25669,0.01138,0.09207,0.00411,11.29406,0.50083,2.57934,0.11519,30.33193,1.34505,6.92721,0.30937,6.00216,0.26616,2.15298,0.09615
YEKWOC_clean_pacmof,8,30.159211003993388,1.31943,0.07232,0.24791,0.0041,58.05319,3.18188,6.94496,0.11478,148.57497,8.14335,17.77416,0.29374,66.66275,3.65376,12.52566,0.207
YEHGID_clean_pacmof,2,37.981416379626666,1.88752,0.03006,0.28161,0.00621,83.04866,1.32256,7.88879,0.17402,174.32678,2.77617,16.5593,0.36528,72.67913,1.15742,10.8433,0.23919
YEFPII_clean_pacmof,27,342.90112359550557,9.15546,0.3065,0.1513,0.00813,402.82906,13.48547,4.23831,0.2278,1237.43498,41.4255,13.01951,0.69978,372.91196,12.48394,6.16244,0.33122
YEKXOD_clean_pacmof,8,12.343199653957855,0.705,0.01784,0.32366,0.0101,31.01904,0.78511,9.06672,0.28298,60.62925,1.53456,17.72165,0.55311,14.38307,0.36404,6.60309,0.20609
YEGHIC_clean_pacmof,4,1204.4597247990102,9.16523,0.06422,0.04312,0.00211,403.25902,2.82539,1.20787,0.05904,876.23718,6.13925,2.62457,0.12828,295.84739,2.07282,1.39181,0.06803
YEGHEZ_clean_pacmof,16,12.839899115190606,0.91337,0.02086,0.4031,0.00851,40.18716,0.91771,11.29214,0.23836,97.54018,2.22743,27.4077,0.57854,19.12271,0.43669,8.43941,0.17814
YEKXUJ_clean_pacmof,8,11.32908739466597,0.61369,0.00819,0.30696,0.00525,27.00169,0.36018,8.59903,0.147,50.86483,0.67849,16.19856,0.27692,12.55988,0.16754,6.28229,0.1074
YEFPEE_clean_pacmof,27,4.683833931875068,0.10127,0.00126,0.12252,0.00171,4.45567,0.05565,3.4322,0.04786,10.35075,0.12929,7.97318,0.11119,3.50977,0.04384,4.24632,0.05922
YEGTAG_clean_pacmof,54,28.6031746031746,0.03286,0.00052,0.00651,0.00052,1.446,0.02285,0.18248,0.01463,6.44536,0.10186,0.81338,0.06521,1.65022,0.02608,0.32709,0.02622
YEKQOW_clean_pacmof,8,46.46784097014352,1.42454,0.02506,0.17372,0.00306,62.67822,1.10255,4.86646,0.08581,154.35604,2.71523,11.9845,0.21132,125.67926,2.21078,15.32617,0.27025
YEFPAA_clean_pacmof,27,4.051861026422764,0.07505,0.00115,0.10496,0.0013,3.30228,0.05054,2.94031,0.03654,6.85032,0.10485,6.09944,0.07579,2.60124,0.03981,3.63776,0.0452
YEGRAD_clean_h_pacmof,12,31.81264108352144,0.17409,0.01147,0.03101,0.00102,7.65967,0.50487,0.86861,0.02845,25.66333,1.69155,2.91025,0.09532,10.33206,0.68102,1.84025,0.06028
YEKXET_clean_pacmof,8,15.177768303215155,0.81668,0.01933,0.30491,0.00913,35.9331,0.85047,8.54167,0.25579,70.80173,1.67575,16.8303,0.504,20.13835,0.47664,7.51875,0.22515
YEGKOM_clean_pacmof,18,21.03082553153274,1.10204,0.02141,0.29694,0.00641,48.48855,0.94217,8.31836,0.17966,109.34401,2.12464,18.7583,0.40514,18.37186,0.35698,4.95023,0.10691
YEGYIU_clean_pacmof,24,18.344910757356487,0.02237,0.00096,0.00691,0.00034,0.98412,0.04221,0.19352,0.00954,3.87453,0.16619,0.7619,0.03755,0.61847,0.02653,0.19102,0.00941
YEGTEK_clean_pacmof,12,210.89343614076708,2.50988,0.11477,0.06744,0.00316,110.43172,5.04974,1.88932,0.08859,347.18462,15.8758,5.9398,0.27851,100.67178,4.60344,2.70516,0.12684
YEFNOM_clean_pacmof,27,4.015048482558871,0.07502,0.00082,0.10588,0.0014,3.30067,0.03614,2.96596,0.03918,6.84181,0.07491,6.14799,0.08122,2.59997,0.02847,3.66948,0.04848
YEPCUS_clean_pacmof,8,7.151970284237726,0.28655,0.01204,0.22704,0.00632,12.60776,0.52974,6.36023,0.17702,38.44148,1.6152,19.39254,0.53975,8.03444,0.33758,6.36596,0.17718
YEYMEU_clean_pacmof,54,0.23034759813434108,0.00398,0.00081,0.09791,0.00414,0.17533,0.03571,2.74281,0.11589,0.50714,0.10329,7.93366,0.33521,0.13603,0.02771,3.34246,0.14122
YEMLOS_clean_pacmof,64,172.55913978494624,0.00944,0.00304,0.00031,3e-05,0.41546,0.13355,0.00882,0.00072,1.47475,0.47405,0.0313,0.00257,0.39398,0.12664,0.01313,0.00108
YEZKIZ_clean_pacmof,27,107.68246725813266,2.99864,0.04643,0.1578,0.00769,131.9367,2.04303,4.4206,0.21547,294.73105,4.56389,9.87509,0.48133,123.17904,1.90742,6.48225,0.31596
YEZKOF_clean_pacmof,8,39.523372273768885,1.45081,0.06656,0.20801,0.00417,63.83399,2.92846,5.82696,0.11668,149.08964,6.83966,13.60936,0.27251,19.19679,0.88067,2.75228,0.05511
YEPDAZ_clean_pacmof,8,2.1975018414907455,0.08248,0.00146,0.21269,0.00752,3.62886,0.06424,5.95823,0.21061,12.05635,0.21342,19.79534,0.69973,2.31253,0.04094,5.9636,0.2108
YEYFEP_clean_pacmof,9,175.76005407810518,6.04139,0.08562,0.19478,0.0037,265.81395,3.76704,5.45643,0.10353,635.60048,9.00755,13.04714,0.24756,160.55161,2.27529,5.1763,0.09822
YELYOE_clean_pacmof,8,183.76308590187853,1.77807,0.00801,0.05483,0.00142,78.23275,0.35229,1.53611,0.03973,339.70323,1.52972,6.67013,0.1725,66.81811,0.30089,2.06064,0.05329
YEMJAC_clean_pacmof,18,69.25017129919266,2.73473,0.05,0.22378,0.00184,120.32502,2.19989,6.26886,0.05155,383.22185,7.0064,19.96563,0.16418,72.7779,1.33059,5.95533,0.04897
YEYDAJ_clean_pacmof,1,74.02422837880543,3.72024,0.11043,0.28479,0.00901,163.68626,4.8586,7.97782,0.25243,308.12622,9.14592,15.01761,0.47518,73.67654,2.18689,5.63995,0.17846
YEVQOG_clean_pacmof,8,16.07163762139151,0.42639,0.00594,0.15034,0.00207,18.76077,0.26141,4.21165,0.05811,60.38798,0.84142,13.55664,0.18706,33.07197,0.46081,11.66099,0.1609
YEYYAC_clean_pacmof,9,84.68907563025209,2.41872,0.06697,0.16184,0.00429,106.42089,2.94642,4.53363,0.12027,246.18403,6.81597,10.48766,0.27823,79.95902,2.21378,5.35008,0.14193
YERJEL_clean_pacmof,18,68.44444444444444,0.12936,0.018,0.01071,0.00137,5.69189,0.79206,0.30016,0.03846,15.484,2.1547,0.81653,0.10464,4.38789,0.6106,0.36343,0.04657
YEMMAF_clean_pacmof,20,121.19853124222055,1.71831,0.11631,0.08034,0.00241,75.6034,5.11768,2.25061,0.06738,201.28606,13.62528,5.99201,0.17938,116.11184,7.85974,5.42887,0.16252
YEQRIV_clean_pacmof,12,255.86571379664494,5.27565,0.07676,0.11684,0.00417,232.12215,3.37752,3.27317,0.11695,344.59456,5.01406,4.85915,0.17362,65.40857,0.95173,1.44864,0.05176
YEYLUJ_clean_pacmof,8,50.84077229999323,1.7689,0.01538,0.19716,0.00556,77.82946,0.67666,5.52316,0.15586,193.59966,1.68318,13.73878,0.3877,47.57565,0.41363,5.30276,0.14964
YEQRER_clean_pacmof,12,297.4513654096229,4.03659,0.05662,0.0769,0.00306,177.60522,2.4914,2.15415,0.08576,411.92827,5.77843,4.99622,0.19891,78.51379,1.10137,1.49568,0.05955
YEMFOM_clean_pacmof,16,40.91885561684616,1.09961,0.03123,0.15228,0.00379,48.38165,1.37404,4.26588,0.1062,166.32121,4.72352,14.66477,0.3651,61.12869,1.73606,8.46538,0.21075
YEZKEV_clean_pacmof,27,51.072758344297746,1.98652,0.09369,0.22041,0.004,87.40452,4.12229,6.17449,0.11203,191.52944,9.03317,13.53015,0.24549,81.64142,3.85048,9.0584,0.16436
